codigo,descricao_fonte,unidade_fonte,ncm_fonte,linha_origem,cor_origem,fabricante_origem,status_reconciliacao,motivos_divergencia,flags_revisao,atlas_id,atlas_unidade,atlas_ncm
03.26.162,CHUMBADOR INFINITY M12X100,UN,76042920,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
03.26.592 ,TERM. ACAB. ANOD SOBREPOR ALUMINIO PERFIL,UN,73072100,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
03.27.900,CONJUNTO DE ACESSORIOS DE FIXAÇÃO PARA SISTEMA GUARDA CORPO INFINITY VIDROS 12MM,UN,76042920,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
03.27.905,CONJUNTO DE ACESSORIOS DE FIXAÇÃO PARA SISTEMA GUARDA CORPO INFINITY VIDROS 16MM,UN,76042920,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
03.27.910,CONJUNTO DE ACESSORIOS DE FIXAÇÃO PARA SISTEMA GUARDA CORPO INFINITY VIDROS 20MM,UN,76042920,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
0608090103,ARCO DE SERRA ALTA TENSAO PREMIUM,UN,82021000,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
0612052080,FRESA,UN,82077090,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
0641170600,BROCA GEOMETRIK,UN,82075019,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
071464 569,TRENA METRICA PULL LOCK 5M - PONTA MAGNETICA,UN,90178010,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
0715380022,CHAVE PHILIPS PH1 X 100MM,UN,82054000,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
071566 045,ESTILETE UNIVERSAL ECO 18MM,UN,82119390,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
071566 057,LAMINA ESTILETE 18MM,UN,82119400,GERAL,15,LINHA EXCLUSIVA,FALTANTE_ATLAS,,"LINHA_GERAL, COR_NUMERICA",,,
1003,CORRENTE PARA TRINCO BASCULANTE (POR METRO),UN,76101000,GERAL,15,LINHA EXCLUSIVA,EXISTENTE_IGUAL,,"LINHA_GERAL, COR_NUMERICA",24afee28-5e9d-4a78-931a-6aa0e27a1903,UN,76101000
1012,DOBRADIÇA AUTOMÁTICA V/A,UN,83021000,GERAL,15,LINHA EXCLUSIVA,EXISTENTE_IGUAL,,"LINHA_GERAL, COR_NUMERICA",4a55425c-29dc-4ae1-95bb-91d4f5d1cbbb,UN,83021000
1038C,CAPUCHINHO PARA TRINCO,UN,76042920,GERAL,15,LINHA EXCLUSIVA,EXISTENTE_IGUAL,,"LINHA_GERAL, COR_NUMERICA",b13e4604-2173-4c17-8ed0-08fa2bb02089,UN,76042920
1114,Dobradiça  automática  para  box,UN,83021000,GERAL,15,LINHA EXCLUSIVA,EXISTENTE_IGUAL,,"LINHA_GERAL, COR_NUMERICA",124305e6-7ac8-4a4f-a811-7902bcf8faab,UN,83021000
1125,ROLDANA SIMPLES PARA JANELA E PORTA DE CORRER,UN,76042920,GERAL,15,LINHA EXCLUSIVA,EXISTENTE_IGUAL,,"LINHA_GERAL, COR_NUMERICA",aedb64d6-cb31-4c52-9d9b-e17e120772d7,UN,76042920
